created_date,agency,complaint_type,descriptor,resolution_description
2025-04-28T21:50:32.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T21:41:40.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department issued a summons in response to the complaint.
2025-02-28T23:22:57.000,NYPD,Noise - Park,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-03-28T21:50:15.000,DOHMH,Rodent,Signs of Rodents,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.
2025-08-28T22:31:17.000,HPD,UNSANITARY CONDITION,MOLD,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-03-28T22:23:39.000,NYPD,Noise - Residential,Loud Television,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.
2025-11-28T22:02:24.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-09-28T22:20:53.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-08-28T23:40:03.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-12-28T23:09:08.000,NYPD,Illegal Parking,Blocked Hydrant,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-12-28T22:45:20.000,NYPD,Noise - Residential,Loud Television,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-02-28T21:29:42.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-09-28T22:49:13.000,HPD,UNSANITARY CONDITION,MOLD,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w"
2025-11-28T22:03:33.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-11-28T22:17:40.000,NYPD,Illegal Parking,Parking Permit Improper Use,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-01-28T21:48:43.000,HPD,UNSANITARY CONDITION,PESTS,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-12-28T22:49:27.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-12-28T22:38:06.000,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.
2025-08-28T22:25:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675)."
2025-03-28T22:51:07.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T23:03:59.000,NYPD,Noise - Park,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T23:42:24.000,DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.
2025-08-28T22:44:33.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and determined that police action was not necessary.
2025-02-28T23:50:18.000,NYPD,Drinking,After Hours - Licensed Est,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-06-28T22:48:10.000,HPD,WATER LEAK,SLOW LEAK,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-09-28T23:14:06.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T23:18:33.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.
2025-01-28T21:28:00.000,DOT,Traffic Signal Condition,Controller,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-10-28T23:34:53.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-11-28T23:47:12.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-05-28T21:24:54.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-08-28T22:11:29.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T23:41:33.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-08-28T22:56:47.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-10-28T22:33:41.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-02-28T21:30:45.000,HPD,GENERAL,CABINET,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951."
2025-05-28T23:47:21.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-11-28T23:04:04.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-05-28T23:38:53.000,NYPD,Noise - Residential,Loud Television,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-07-28T22:19:15.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T22:10:29.000,NYPD,Illegal Parking,Blocked Bike Lane,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-05-28T22:31:44.000,NYPD,Illegal Parking,Blocked Crosswalk,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-05-28T23:05:50.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-09-28T22:37:53.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.
2025-11-28T22:41:59.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-03-28T23:15:22.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-04-28T23:53:06.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and took action to fix the condition.
2025-09-28T22:10:30.000,NYPD,Noise - Park,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T22:22:19.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and determined that police action was not necessary.
2025-03-28T23:05:26.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.
2025-10-28T22:35:28.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and took action to fix the condition.
2025-05-28T22:25:46.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-12-28T21:48:38.000,NYPD,Illegal Parking,Blocked Hydrant,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-03-28T22:28:56.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,The Police Department responded to the complaint and determined that police action was not necessary.
2025-02-28T23:51:50.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department reviewed your complaint and provided additional information below.
2025-02-28T23:36:47.000,NYPD,Noise - Residential,Loud Television,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-05-28T22:24:35.000,NYPD,Illegal Parking,Unauthorized Bus Layover,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-04-28T22:43:26.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.
2025-04-28T22:21:02.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T23:16:16.000,DOHMH,Rodent,Condition Attracting Rodents,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.
2025-04-28T21:48:46.000,NYPD,Illegal Parking,Blocked Sidewalk,The Police Department issued a summons in response to the complaint.
2025-01-28T23:57:48.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and determined that police action was not necessary.
2025-08-28T23:37:42.000,NYPD,Encampment,,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.
2025-04-28T22:43:17.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-04-28T22:18:16.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-07-28T22:59:00.000,DEP,Sewer,Street Flooding (SJ),"The Department of Environmental Protection inspected your complaint and referred it to the Department of Transportation for further action. If the problem persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
2025-01-28T23:40:16.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-02-28T22:45:36.000,NYPD,Illegal Parking,Double Parked Blocking Vehicle,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T21:28:32.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-01-28T22:47:00.000,DEP,Water System,Leak (Use Comments) (WA2),The Department of Environmental Protection investigated this complaint and resolved the leak.
2025-03-28T21:56:41.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-04-28T21:48:53.000,NYPD,Abandoned Vehicle,With License Plate,This complaint does not fall under the Police Department's jurisdiction.
2025-11-28T22:24:35.000,NYPD,Illegal Parking,Parking Permit Improper Use,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-04-28T22:06:23.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-11-28T22:39:34.000,NYPD,Blocked Driveway,No Access,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-11-28T22:14:00.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-06-28T23:31:28.000,TLC,Green Taxi Report,Driver Report - Passenger,
2025-11-28T22:20:18.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-06-28T23:11:23.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T21:25:09.000,DPR,Illegal Tree Damage,Roots Damaged,NYC Parks visited the location but could not find the tree condition you reported.
2025-06-28T22:53:37.000,NYPD,Illegal Parking,Double Parked Blocking Vehicle,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-02-28T23:54:19.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-08-28T23:30:09.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-11-28T22:30:00.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-11-28T23:08:27.000,NYPD,Illegal Parking,Overnight Commercial Storage,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-04-28T23:14:27.000,NYPD,Noise - Residential,Loud Television,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T21:29:37.000,TLC,Taxi Complaint,Driver Complaint - Non Passenger,A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.
2025-03-28T22:33:52.000,NYPD,Illegal Parking,Overnight Commercial Storage,The Police Department responded to the complaint and determined that police action was not necessary.
2025-04-28T22:14:20.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.
2025-03-28T22:05:31.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-07-28T22:16:58.000,HPD,DOOR/WINDOW,DOOR,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.
2025-06-28T23:02:22.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-12-28T22:01:50.000,NYPD,Illegal Parking,Parking Permit Improper Use,"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-01-28T22:22:57.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and determined that police action was not necessary.
2025-12-28T21:44:55.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-11-28T23:30:29.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-04-28T23:08:34.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-07-28T21:59:40.000,DSNY,Obstruction,Trash or Recycling,The Department of Sanitation (DSNY) gave the business a violation.
2025-12-28T21:41:18.000,NYPD,Noise - Vehicle,Car/Truck Music,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-08-28T23:51:18.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and determined that police action was not necessary.
2025-01-28T23:59:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.
2025-06-28T22:58:25.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.
2025-01-28T22:50:17.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint but officers were unable to gain entry into the premises.
2025-02-28T22:08:46.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-10-28T22:02:40.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-09-28T23:16:41.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-11-28T23:17:12.000,NYPD,Noise - Commercial,Loud Music/Party,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-11-28T22:01:10.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.
2025-07-28T23:53:15.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T23:11:24.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.
2025-06-28T23:53:02.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and took action to fix the condition.
2025-01-28T22:45:24.000,NYPD,Drug Activity,Use Indoor,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-12-28T22:00:19.000,DSNY,Snow or Ice,Sidewalk,The Department of Sanitation investigated this complaint and found no violation at the location.
2025-12-28T21:57:36.000,NYPD,Illegal Parking,Commercial Overnight Parking,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-05-28T22:10:00.000,DOT,Traffic Signal Condition,Underground,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below."
2025-06-28T22:58:42.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-02-28T23:42:56.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-12-28T22:42:29.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-06-28T22:50:44.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T22:08:00.000,DOT,Street Light Condition,Street Light Out,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.
2025-01-28T23:41:19.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
2025-03-28T21:54:51.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-06-28T23:51:09.000,NYPD,Illegal Parking,Parking Permit Improper Use,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-08-28T21:58:25.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-03-28T23:45:14.000,HPD,ELECTRIC,NO LIGHTING,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w"
2025-04-28T22:30:04.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-08-28T22:09:51.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.
2025-01-28T23:08:56.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-02-28T23:14:04.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-04-28T22:08:16.000,DSNY,Vendor Enforcement,Food Vendor,
2025-03-28T23:50:44.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-12-28T21:55:06.000,NYPD,Noise - Residential,Loud Talking,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-08-28T22:16:25.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.
2025-11-28T21:50:16.000,NYPD,Illegal Parking,Commercial Overnight Parking,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention."
2025-07-28T22:52:32.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and took action to fix the condition.
2025-04-28T23:08:37.000,NYPD,Panhandling,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-07-28T23:38:51.000,HPD,GENERAL,VENTILATION SYSTEM,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-09-28T23:02:00.000,DEP,Noise,"Noise, Barking Dog (NR5)","The Department of Environmental Protection (DEP) sent the dog owner a warning letter. It includes recommendations on how to reduce their dog's barking. DEP also sent you a letter to acknowledge your complaint.   DEP expects it may take about six weeks for the changes they recommend to take effect.   If the excessive dog barking continues after that time, please file a new Service Request."
2025-07-28T23:24:12.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.
2025-11-28T21:42:21.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.
2025-05-28T22:26:10.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.
2025-01-28T22:49:27.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a"
