created_date,agency,complaint_type,descriptor,resolution_description,resolution_date,sentiment_label,urgency_score
2025-04-28T23:13:39.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.,2025-04-28T23:13:39.000,Frustrated,2
2025-02-28T21:44:39.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T21:44:39.000,Neutral,2
2025-06-28T23:31:02.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:31:02.000,Neutral,2
2025-04-28T22:41:15.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-04-28T22:41:15.000,Neutral,2
2025-06-28T23:04:35.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:04:35.000,Neutral,2
2025-01-28T23:26:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2025-01-28T23:26:00.000,Neutral,1
2025-08-28T22:28:05.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:28:05.000,Neutral,2
2025-09-28T22:03:13.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,2025-09-28T22:03:13.000,Neutral,1
2025-07-28T23:04:36.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T23:04:36.000,Neutral,2
2025-07-28T23:05:00.000,DEP,Noise,Noise: Alarms (NR3),"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2025-07-28T23:05:00.000,Neutral,2
2025-03-28T22:23:36.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and took action to fix the condition.,2025-03-28T22:23:36.000,Neutral,2
2025-01-28T23:51:25.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-01-28T23:51:25.000,Neutral,2
2025-08-28T22:42:47.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:42:47.000,Neutral,2
2025-04-28T23:09:59.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T23:09:59.000,Neutral,2
2025-09-28T22:07:17.000,NYPD,Non-Emergency Police Matter,Other (complaint details),The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:07:17.000,Neutral,1
2025-02-28T22:02:00.000,DEP,Noise,"Noise, Barking Dog (NR5)",The Department of Environmental Protection sent a letter to the complainant and/or respondent and the letter was returned as undeliverable.,2025-02-28T22:02:00.000,Frustrated,2
2025-06-28T23:20:38.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:20:38.000,Neutral,2
2025-05-28T23:56:04.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-05-28T23:56:04.000,Frustrated,4
2025-07-28T22:03:59.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T22:03:59.000,Neutral,2
2025-08-28T22:57:03.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department issued a summons in response to the complaint.,2025-08-28T22:57:03.000,Neutral,2
2025-07-28T21:53:00.000,DOT,Street Light Condition,Street Light Out,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2025-07-28T21:53:00.000,Neutral,2
2025-02-28T21:37:36.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-02-28T21:37:36.000,Frustrated,4
2025-08-28T23:42:09.000,NYPD,Noise - Vehicle,Car/Truck Music,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T23:42:09.000,Neutral,2
2025-10-28T23:01:32.000,NYPD,Encampment,,The Police Department visited the location and no Encampment was found.,2025-10-28T23:01:32.000,Neutral,1
2025-07-28T21:55:52.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T21:55:52.000,Neutral,2
2025-07-28T21:45:31.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-07-28T21:45:31.000,Frustrated,2
2025-10-28T22:52:01.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,2025-10-28T22:52:01.000,Neutral,2
2025-03-28T22:00:30.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department issued a summons in response to the complaint.,2025-03-28T22:00:30.000,Neutral,2
2025-10-28T22:20:27.000,DSNY,Missed Collection,Recycling - Paper,The Department of Sanitation collected the requested items.,2025-10-28T22:20:27.000,Neutral,1
2025-03-28T23:37:55.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.,2025-03-28T23:37:55.000,Frustrated,2
2025-08-28T22:16:09.000,HPD,WATER LEAK,HEAVY FLOW,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",2025-08-28T22:16:09.000,Frustrated,8
2025-04-28T21:34:16.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department issued a summons in response to the complaint.,2025-04-28T21:34:16.000,Neutral,2
2025-06-28T23:54:50.000,NYPD,Noise - Park,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:54:50.000,Frustrated,2
2025-01-28T21:35:25.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and determined that police action was not necessary.,2025-01-28T21:35:25.000,Neutral,2
2025-09-28T23:10:15.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T23:10:15.000,Neutral,2
2025-07-28T21:56:42.000,DPR,Violation of Park Rules,Unsafe Use of Playground,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,2025-07-28T21:56:42.000,Critical Panic,8
2025-11-28T22:30:10.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:30:10.000,Frustrated,2
2025-10-28T23:26:27.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and took action to fix the condition.,2025-10-28T23:26:27.000,Neutral,2
2025-10-28T22:50:16.000,DOB,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2025-10-28T22:50:16.000,Neutral,2
2025-04-28T22:41:11.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T22:41:11.000,Frustrated,2
2025-05-28T21:10:55.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-28T21:10:55.000,Neutral,2
2025-02-28T23:59:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2025-02-28T23:59:00.000,Neutral,2
2025-08-28T23:52:00.000,DEP,Lead,Lead Kit Request (Residential) (L10),The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2025-08-28T23:52:00.000,Neutral,1
2025-06-28T22:57:20.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.,2025-06-28T22:57:20.000,Frustrated,2
2025-05-28T22:17:27.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-05-28T22:17:27.000,Frustrated,3
2025-04-28T21:50:41.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T21:50:41.000,Neutral,2
2025-01-28T23:41:00.000,DEP,Noise,Noise: Construction Before/After Hours (NM1),"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2025-01-28T23:41:00.000,Neutral,2
2025-06-28T23:19:42.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T23:19:42.000,Frustrated,4
2025-11-28T21:42:11.000,HPD,GENERAL,COOKING GAS,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-11-28T21:42:11.000,Neutral,2
2025-03-28T23:39:56.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-03-28T23:39:56.000,Neutral,2
2025-07-28T23:17:55.000,DPR,Maintenance or Facility,Garbage or Litter,NYC Parks has completed the requested work order and corrected the problem.,2025-07-28T23:17:55.000,Neutral,1
2025-09-28T23:17:11.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-09-28T23:17:11.000,Neutral,1
2025-10-28T22:53:00.000,DEP,Noise,Noise: Jack Hammering (NC2),The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2025-10-28T22:53:00.000,Neutral,2
2025-07-28T23:44:28.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-07-28T23:44:28.000,Neutral,2
2025-02-28T22:51:39.000,NYPD,Illegal Parking,Overnight Commercial Storage,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T22:51:39.000,Neutral,2
2025-04-28T23:20:22.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.,2025-04-28T23:20:22.000,Neutral,2
2025-11-28T22:24:25.000,NYPD,Blocked Driveway,No Access,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:24:25.000,Neutral,1
2025-04-28T23:57:56.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-04-28T23:57:56.000,Frustrated,6
2025-08-28T23:30:49.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-08-28T23:30:49.000,Frustrated,2
2025-02-28T22:17:28.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,2025-02-28T22:17:28.000,Neutral,1
2025-08-28T22:02:51.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:02:51.000,Neutral,2
2025-10-28T22:29:31.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and took action to fix the condition.,2025-10-28T22:29:31.000,Neutral,2
2025-11-28T22:46:21.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:46:21.000,Frustrated,2
2025-07-28T21:44:47.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-07-28T21:44:47.000,Frustrated,2
2025-03-28T22:00:32.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-03-28T22:00:32.000,Frustrated,2
2025-02-28T22:40:04.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-02-28T22:40:04.000,Neutral,3
2025-08-28T23:16:08.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.,2025-08-28T23:16:08.000,Frustrated,2
2025-08-28T22:13:56.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-08-28T22:13:56.000,Neutral,2
2025-08-28T22:27:24.000,NYPD,Traffic,Chronic Speeding,The Police Department responded to the complaint and determined that police action was not necessary.,2025-08-28T22:27:24.000,Neutral,2
2025-10-28T22:23:47.000,NYPD,Noise - Residential,Loud Television,This complaint does not fall under the Police Department's jurisdiction.,2025-10-28T22:23:47.000,Neutral,1
2025-02-28T22:49:43.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:49:43.000,Frustrated,4
2025-07-28T22:28:56.000,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2025-07-28T22:28:56.000,Neutral,1
2025-08-28T22:25:36.000,NYPD,Blocked Driveway,Partial Access,The Police Department issued a summons in response to the complaint.,2025-08-28T22:25:36.000,Frustrated,3
2025-09-28T22:49:05.000,DSNY,Graffiti,Graffiti,,2025-09-28T22:49:05.000,Neutral,2
2025-08-28T22:40:52.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:40:52.000,Neutral,2
2025-03-28T22:21:40.000,DSNY,Commercial Disposal Complaint,Waste Disposal,,2025-03-28T22:21:40.000,Frustrated,3
2025-11-28T22:01:14.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:01:14.000,Frustrated,2
2025-10-28T23:10:42.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-10-28T23:10:42.000,Neutral,4
2025-11-28T23:50:39.000,NYPD,Noise - Residential,Loud Talking,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T23:50:39.000,Neutral,1
2025-08-28T22:50:18.000,DOHMH,Indoor Air Quality,Ventilation,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2025-08-28T22:50:18.000,Neutral,2
2025-01-28T22:50:22.000,NYPD,Panhandling,,The Police Department responded to the complaint and took action to fix the condition.,2025-01-28T22:50:22.000,Neutral,1
2025-02-28T22:43:51.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:43:51.000,Neutral,2
2025-08-28T23:11:38.000,DOT,Street Condition,Pothole,The Department of Transportation inspected this complaint and repaired the problem.,2025-08-28T23:11:38.000,Neutral,2
2025-11-28T23:56:17.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/dob/contact-us.page,2025-11-28T23:56:17.000,Frustrated,4
2025-11-28T22:04:35.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-11-28T22:04:35.000,Neutral,2
2025-02-28T22:07:03.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T22:07:03.000,Neutral,1
2025-06-28T23:51:27.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T23:51:27.000,Neutral,2
2025-05-28T23:41:03.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-05-28T23:41:03.000,Frustrated,3
2025-07-28T22:13:44.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T22:13:44.000,Neutral,2
2025-08-28T22:44:11.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:44:11.000,Neutral,2
2025-09-28T23:17:49.000,DOT,Street Condition,Cave-in,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2025-09-28T23:17:49.000,Critical Panic,8
2025-07-28T22:25:25.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and took action to fix the condition.,2025-07-28T22:25:25.000,Neutral,2
2025-04-28T23:51:11.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T23:51:11.000,Frustrated,2
2025-11-28T22:04:09.000,HPD,UNSANITARY CONDITION,MOLD,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",2025-11-28T22:04:09.000,Frustrated,6
2025-04-28T21:37:55.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-04-28T21:37:55.000,Frustrated,3
2025-02-28T22:23:19.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-02-28T22:23:19.000,Neutral,2
2025-11-28T23:45:40.000,NYPD,Encampment,,"The New York City Police Department responded to the complaint and observed no encampment at the noted location. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T23:45:40.000,Neutral,1
2025-04-28T22:16:34.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-04-28T22:16:34.000,Frustrated,4
2025-08-28T22:52:21.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.,2025-08-28T22:52:21.000,Frustrated,2
2025-03-28T22:58:47.000,HPD,ELECTRIC,POWER OUTAGE,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2025-03-28T22:58:47.000,Neutral,4
2025-12-28T22:38:47.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2025-12-28T22:38:47.000,Neutral,2
2025-03-28T23:05:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2025-03-28T23:05:00.000,Neutral,2
2025-05-28T23:10:38.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-05-28T23:10:38.000,Neutral,4
2025-04-28T22:48:49.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-04-28T22:48:49.000,Frustrated,4
2025-10-28T22:59:06.000,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,2025-10-28T22:59:06.000,Frustrated,2
2025-12-28T23:48:11.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-12-28T23:48:11.000,Neutral,2
2025-09-28T22:46:24.000,NYPD,Animal-Abuse,No Shelter,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-09-28T22:46:24.000,Critical Panic,8
2025-09-28T23:07:09.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-09-28T23:07:09.000,Neutral,1
2025-07-28T22:32:19.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-07-28T22:32:19.000,Frustrated,2
2025-04-28T22:55:56.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T22:55:56.000,Neutral,2
2025-06-28T22:59:35.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T22:59:35.000,Frustrated,4
2025-10-28T21:48:37.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.,2025-10-28T21:48:37.000,Neutral,2
2025-04-28T21:40:28.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and took action to fix the condition.,2025-04-28T21:40:28.000,Neutral,2
2025-03-28T22:23:52.000,HPD,UNSANITARY CONDITION,PESTS,An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did not receive a timely response from you and the complaint has been closed. Please submit a new service request with 311 if the condition still exists.,2025-03-28T22:23:52.000,Critical Panic,8
2025-02-28T22:49:00.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and a report was prepared.,2025-02-28T22:49:00.000,Frustrated,2
2025-04-28T23:39:41.000,NYPD,Blocked Driveway,No Access,The Police Department responded to the complaint and determined that police action was not necessary.,2025-04-28T23:39:41.000,Neutral,2
2025-08-28T22:55:24.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-08-28T22:55:24.000,Neutral,2
2025-11-28T22:08:11.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:08:11.000,Frustrated,2
2025-02-28T23:48:55.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to inspect, contact HPD at the Tenant Information Messaging Service at 212-863-4951.",2025-02-28T23:48:55.000,Neutral,2
2025-05-28T22:49:32.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.,2025-05-28T22:49:32.000,Frustrated,3
2025-04-28T21:40:09.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-04-28T21:40:09.000,Frustrated,4
2025-02-28T21:48:00.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T21:48:00.000,Frustrated,2
2025-12-28T22:16:40.000,NYPD,Illegal Parking,Commercial Overnight Parking,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T22:16:40.000,Neutral,1
2025-06-28T23:57:55.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.,2025-06-28T23:57:55.000,Neutral,2
2025-10-28T23:59:52.000,NYPD,Noise - Residential,Loud Talking,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-10-28T23:59:52.000,Frustrated,3
2025-06-28T23:21:22.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:21:22.000,Frustrated,2
2025-08-28T23:24:31.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-08-28T23:24:31.000,Neutral,2
2025-01-28T22:59:21.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.,2025-01-28T22:59:21.000,Frustrated,4
